particip_code,pred_trialN,pred_Cond,pred_Cont,pred_Cat,pred_Obj,pred_predictedValue,pred_acc,pred_rt,rec_session,rec_trialType,rec_Cond,rec_Cat,rec_Obj,rec_response,rec_acc,rec_rt,rec_respConf,rec_rtConf,rec_respCont
6,1,4,5,HouseObjects,key,1,0,1.35972312337253,1,old,4,HouseObjects,key,1,1,1.78458159486763,6,0.372417471488006,5
6,2,1,3,HouseObjects,handvacuum,0,0,NaN,2,old,1,HouseObjects,handvacuum,1,1,1.82728021184448,3,0.0947743096621707,4
6,3,4,6,FruitsAndVegs,greenolive,2,0,0.396403631544672,2,old,4,FruitsAndVegs,greenolive,1,1,1.02247650118079,5,0.121399085153826,5
6,4,4,5,HouseObjects,thread,3,0,1.13474931870587,2,old,4,HouseObjects,thread,1,1,1.39180505741388,4,0.0554882207652554,4
6,5,2,4,Instruments,grandpiano2,1,1,0.505911788030062,1,old,2,Instruments,grandpiano2,0,0,2.15456218767213,3,0.170308246859349,4
6,6,3,4,HouseObjects,iron2,1,0,0.426905667642131,1,old,3,HouseObjects,iron2,1,1,1.7162755462341,5,0.431925355456769,5
6,7,4,4,Instruments,drums,1,1,0.44533171603689,1,old,4,Instruments,drums,1,1,0.90459963248577,6,1.4061941234977,4
6,8,3,6,HouseObjects,pitcher2,2,1,1.06369753199397,2,old,3,HouseObjects,pitcher2,1,1,2.51983964967076,2,0.303601788822562,4
6,9,4,6,FruitsAndVegs,kiwi2,1,0,0.674297280609608,2,old,4,FruitsAndVegs,kiwi2,0,0,2.04920679575298,4,0.0455399316269904,5
6,10,3,5,Instruments,hihat2,2,0,1.46123717614682,1,old,3,Instruments,hihat2,1,1,1.43965229421156,6,1.08268228563247,4
6,11,3,5,Instruments,frenchhorn2,2,0,1.4076133374474,1,old,3,Instruments,frenchhorn2,0,0,2.33801251667319,2,0.497078984917607,4
6,12,4,4,Instruments,laud,1,1,0.554735636513215,2,old,4,Instruments,laud,1,1,1.06765112548601,5,0.0934843485010788,6
6,13,4,4,Instruments,trumpet,1,1,0.446259898017161,2,old,4,Instruments,trumpet,1,1,1.59097707027104,2,0.398217659676448,6
6,14,1,1,FruitsAndVegs,garlic2,3,1,0.848292918060906,2,old,1,FruitsAndVegs,garlic2,0,0,1.57697544165421,5,0.404747647698969,5
6,15,1,2,FruitsAndVegs,leek,2,0,1.48286984633887,2,old,1,FruitsAndVegs,leek,1,1,1.5599503259873,4,0.115205539041199,5
6,16,4,4,Instruments,keyboard,1,1,0.557057695172261,1,old,4,Instruments,keyboard,0,0,2.02914408087963,2,0.373997690097895,4
6,17,1,1,HouseObjects,dustpan,3,0,0.728218432632275,2,old,1,HouseObjects,dustpan,0,0,4.13650465395767,2,0.678365694009699,4
6,18,2,5,HouseObjects,knife,2,1,1.27479254623177,2,old,2,HouseObjects,knife,1,1,1.31427395739593,2,0.875535733182915,4
6,19,1,2,Instruments,marimba,2,0,1.61372971686069,2,old,1,Instruments,marimba,1,1,1.47380996902939,3,0.512245170888491,6
6,20,4,5,HouseObjects,sponge,2,1,1.1521381381317,2,old,4,HouseObjects,sponge,1,1,2.43316143471748,2,2.50174843962304,4
6,21,3,4,FruitsAndVegs,cherrytomato,1,0,0.490549959067721,1,old,3,FruitsAndVegs,cherrytomato,0,0,2.60227529669646,2,0.461191633017734,6
6,22,3,6,Instruments,laud2,2,0,1.69296483590733,2,old,3,Instruments,laud2,1,1,2.25337636622135,2,1.21892105741426,6
6,23,1,1,HouseObjects,recyclingbin,3,0,1.17610665818211,2,old,1,HouseObjects,recyclingbin,0,0,1.61622592993081,3,0.659841824206524,4
6,24,2,4,Instruments,panflute2,1,1,0.53064010880189,1,old,2,Instruments,panflute2,0,0,1.32823934394401,4,0.0196560338372365,4
6,25,4,6,FruitsAndVegs,lettuce2,2,0,1.04508770746179,2,old,4,FruitsAndVegs,lettuce2,0,0,1.31922180240508,3,0.391962854773737,5
6,26,1,2,Instruments,harmonica2,2,0,1.62324534635991,1,old,1,Instruments,harmonica2,1,1,1.82379231305094,5,0.0157787732314318,5
6,27,4,6,FruitsAndVegs,casabamelon,1,0,0.857717461243737,1,old,4,FruitsAndVegs,casabamelon,1,1,0.830694022937678,6,1.22664639248978,6
6,28,4,5,HouseObjects,safetypin,2,1,1.30885817256058,1,old,4,HouseObjects,safetypin,1,1,1.12127624708228,6,0.257259720703587,5
6,29,4,6,FruitsAndVegs,cherrytomato2,2,0,1.31941006879788,2,old,4,FruitsAndVegs,cherrytomato2,0,0,1.66025139170233,2,1.02519273245707,5
6,30,4,6,FruitsAndVegs,cherrytomato2,3,1,0.633626936876681,2,old,4,FruitsAndVegs,cherrytomato2,0,0,1.66025139170233,2,1.02519273245707,5
