"","PartNum","perf4","perf5","perf6"
"1",1,0.275,0.275,0.3375
"2",2,0.4,0.425,0.3875
"3",3,0.4375,0.175,0.3625
"4",4,0.25,0.3125,0.425
"5",6,0.3375,0.225,0.3375
"6",8,0.25,0.275,0.375
"7",9,0.3875,0.2,0.3125
"8",10,0.3,0.25,0.3875
"9",11,0.2375,0.3,0.3
"10",12,0.25,0.25,0.3875
"11",14,0.2375,0.375,0.325
"12",15,0.3,0.25,0.3375
"13",16,0.35,0.225,0.225
"14",17,0.225,0.225,0.325
"15",18,0.25,0.2875,0.3625
"16",20,0.2625,0.3,0.3625
"17",21,0.3125,0.275,0.35
"18",22,0.275,0.2125,0.4
"19",24,0.3875,0.3125,0.2875
"20",25,0.2125,0.35,0.375
"21",26,0.3125,0.25,0.3625
"22",27,0.2375,0.3125,0.3375
"23",28,0.2125,0.2625,0.35
"24",29,0.2125,0.325,0.3625
"25",30,0.275,0.2375,0.3875
"26",31,0.2125,0.3,0.375
"27",32,0.325,0.375,0.275
"28",33,0.2625,0.2,0.3875
"29",34,0.325,0.2875,0.3375
